reporter_desc,year,months_reported
China,2016,9
China,2017,11
China,2018,7
China,2019,10
China,2020,9
China,2021,12
China,2022,11
China,2023,12
China,2024,10
India,2011,5
India,2012,5
India,2013,7
India,2014,3
India,2015,5
India,2016,1
India,2017,1
India,2023,1
South Africa,2010,12
South Africa,2011,12
South Africa,2012,12
South Africa,2013,12
South Africa,2014,12
South Africa,2015,12
South Africa,2016,10
South Africa,2017,12
South Africa,2018,9
South Africa,2019,9
South Africa,2020,10
South Africa,2021,12
South Africa,2022,12
South Africa,2023,12
South Africa,2024,12
Uruguay,2023,2
