year,price_per_kg,value_M,qty_Mkg,months_reported
2010,4.55738992896674,4.031722345,0.884656,12
2011,2.835456356611239,5.810609977000001,2.049268,12
2012,1.8018941369032038,6.706125284,3.72170881,12
2013,1.1201393566534585,5.963912723,5.3242595999999995,12
2014,1.6055271960409851,8.684073114,5.4088608,12
2015,3.9467905124891702,21.01924068,5.325654,12
2016,4.765765553665603,18.810540024999998,3.9470132999999996,10
2017,5.24687060969667,17.21137,3.2803115,12
2018,5.996219676493575,3.309065336,0.5518585899999999,9
2019,5.645187391131536,5.989378417999999,1.0609707,9
2020,4.040286712334055,34.225111169,8.470961,10
2021,6.4528554163528975,38.870809831,6.0238154,12
2022,6.539916408156293,35.252571825000004,5.3903704,12
2023,6.414442800096755,38.29170905499999,5.969608,12
2024,6.6379084873899155,37.723439709,5.683031,12
