language,score,rank
German,7.605259956500111,1
Greek,7.1700865615,2
Italian,6.964940454873405,3
English,6.925032299729143,4
Portuguese,6.913260160560557,5
Filipino,6.810961577521558,6
French,6.736910714938536,7
Marathi,6.713472027311238,8
Spanish,6.707759285119282,9
Yoruba,6.7,10
Tagalog,6.69658146049903,11
Kannada,6.68409702464149,12
Indonesian,6.646633150171425,13
Russian,6.632821199574823,14
Ukrainian,6.595281729181746,15
Ibo/Igbo,6.591756882152799,16
Swahili,6.5863247620418175,17
Azeri,6.5854597,18
Hindi,6.576977288778281,19
Burmese,6.576934978630247,20
Akan,6.556817296455005,21
Tamil,6.525930462473298,22
Farsi,6.51358686705883,23
Malayalam,6.512189941760707,24
Other,6.489078311502299,25
Turkish,6.474200901117515,26
Sinhalese,6.437588505659909,27
Singhalese,6.4,28
Telugu,6.3567981356542,29
Urdu,6.350959208366954,30
Mongolian,6.325303003626843,31
Korean,6.252050756349595,32
Kazakh,6.219411768008473,33
Vietnamese,6.1885463507392835,34
Gujarati,6.188097943298963,35
Nepali,6.1740594883762485,36
Thai,6.108617566336877,37
Dzongkha,6.1,38
Gujurati,6.1,39
Khmer,6.023494487972311,40
Punjabi,6.01528531660013,41
Chinese,6.007269639981065,42
Bengali,5.9909403673298485,43
Uzbek,5.931720835951236,44
Arabic,5.9298258111918445,45
Japanese,5.857686389414645,46
